metabolite_name,RefMetName,metabolite_ID,RetentionTimeIndex,m_z_ratio
CE(16:0) + CE(18:1),-,ME399053,9.12,369.351948452576
CE(18:0),CE 18:0,ME399054,9.64,369.351943579901
CE(18:2),CE 18:2,ME399055,8.71,369.351905113834
CE(20:4),CE 20:4,ME399059,8.48,369.351992746797
Cer(d18:1/23:0),Cer 18:1;O2/23:0,ME399056,7.78,636.630358494506
Cer(d18:1/24:0),Cer 18:1;O2/24:0,ME399057,7.93,650.645209728793
DG(18:1/18:1)),DG 18:1_18:1,ME399058,7.04,638.57266146358
LPC(16:0e),LPC O-16:0,ME399060,3.45,482.36077403775
LPC(16:0p),LPC P-16:0 or LPC O-16:1,ME399061,3.38,480.344486903148
LPC(16:1),LPC 16:1,ME399062,2.92,494.323288965406
LPC(18:0),LPC 18:0,ME399063,3.69,524.37144687557
LPC(18:1),LPC 18:1,ME399064,3.28,522.355801778707
LPC(18:2),LPC 18:2,ME399065,3.02,520.339426106478
LPC(20:3),LPC 20:3,ME399066,3.13,546.354516529963
LPC(20:4),LPC 20:4,ME399067,2.97,544.338983657521
LPC(22:5),LPC 22:5,ME399068,3.02,570.356043566595
LPC(22:6),LPC 22:6,ME399069,2.91,568.339739393771
PC(16:0/16:0),PC 16:0/16:0,ME399070,6.46,734.569631354036
PC(16:0/18:1),PC 16:0/18:1,ME399071,6.43,760.584929197581
PC(16:0e/18:1(9Z)),PC O-16:0/18:1,ME399072,6.71,746.607683225902
PC(18:0/18:0),PC 18:0/18:0,ME399073,7.24,790.632599487911
PC(18:0p/18:1(9Z)),PC P-18:0/18:1(9Z)*,ME399074,6.75,772.623866773606
PC(18:0p/22:6),PC P-18:0/22:6 or PC O-18:1/22:6,ME399075,6.33,818.605648736755
PC(30:0),PC 30:0,ME399076,5.97,706.539064366967
PC(31:0),PC 31:0,ME399077,6.21,720.554438691426
PC(31:0).1,PC 31:0,ME399078,6.22,720.554524952613
PC(32:1),PC 32:1,ME399079,5.98,732.554049306832
PC(32:2),PC 32:2,ME399080,5.57,730.538371199291
PC(33:0),PC 33:0,ME399081,6.6,748.586020836829
PC(33:1),PC 33:1,ME399082,6.21,746.569390434612
PC(34:2),PC 34:2,ME399083,6.04,758.569788393238
PC(34:3),PC 34:3,ME399084,5.66,756.554320757034
PC(35:1),PC 35:1,ME399085,6.66,774.601407931397
PC(35:2),PC 35:2,ME399086,6.27,772.586302239718
PC(35:3),PC 35:3,ME399087,5.89,770.568987682145
