metabolite_name,RefMetName,metabolite_ID,Total_C,Total_DB
TG(14:0/16:0/18:1),TG 14:0_16:0_18:1,ME399158,48,1
TG(14:0/18:1/18:1),TG 14:0_18:1_18:1,ME399159,50,2
TG(14:0/18:2/18:2),TG 14:0_18:2_18:2,ME399160,50,4
TG(16:0/16:0/16:0),TG 16:0_16:0_16:0,ME399161,48,0
TG(16:0/18:0/18:1),TG 16:0_18:0_18:1,ME399162,52,1
TG(16:0/18:2/18:2),TG 16:0_18:2_18:2,ME399163,52,4
TG(16:0/18:2/18:3),TG 16:0_18:2_18:3,ME399164,52,5
TG(16:0/18:2/22:6),TG 16:0_18:2_22:6,ME399165,56,8
TG(18:0/18:0/18:0),TG 18:0/18:0/18:0,ME399167,54,0
TG(18:0/18:1/20:4),TG 18:0_18:1_20:4,ME399168,56,5
TG(18:1/18:1/16:0),TG(18:1/18:1/16:0),ME399170,52,2
TG(18:1/18:1/18:1),TG 18:1_18:1_18:1,ME399171,54,3
TG(18:1/18:1/22:6),TG 18:1_18:1_22:6,ME399172,58,8
TG(18:1/18:2/18:2),TG 18:1_18:2_18:2,ME399173,54,5
TG(18:2/18:1/16:0),TG(18:2/18:1/16:0),ME399174,52,3
TG(18:2/18:1/18:1),TG(18:2/18:1/18:1),ME399175,54,4
TG(18:2/22:5/16:0),TG(18:2/22:5/16:0),ME399177,56,7
TG(45:0),TG 45:0,ME399178,45,0
TG(47:0),TG 47:0,ME399179,47,0
TG(47:1),TG 47:1,ME399180,47,1
TG(47:2),TG 47:2,ME399181,47,2
TG(48:0),TG 48:0,ME399182,48,0
TG(48:1),TG 48:1,ME399183,48,1
TG(48:3),TG 48:3,ME399184,48,3
TG(49:0),TG 49:0,ME399228,49,0
TG(49:1),TG 49:1,ME399185,49,1
TG(49:2),TG 49:2,ME399186,49,2
TG(49:3),TG 49:3,ME399187,49,3
TG(50:0),TG 50:0,ME399188,50,0
TG(50:0).1,TG 50:0,ME399189,50,0
TG(50:1),TG 50:1,ME399190,50,1
TG(50:1).1,TG 50:1,ME399191,50,1
TG(50:2),TG 50:2,ME399192,50,2
TG(50:3),TG 50:3,ME399193,50,3
TG(50:3).1,TG 50:3,ME399194,50,3
TG(50:5),TG 50:5,ME399195,50,5
TG(51:1),TG 51:1,ME399196,51,1
TG(51:2),TG 51:2,ME399197,51,2
TG(51:2).1,TG 51:2,ME399198,51,2
TG(51:3),TG 51:3,ME399199,51,3
TG(51:4),TG 51:4,ME399200,51,4
TG(52:0),TG 52:0,ME399201,52,0
TG(52:2),TG 52:2,ME399202,52,2
TG(52:3),TG 52:3,ME399203,52,3
TG(52:4),TG 52:4,ME399204,52,4
TG(52:5),TG 52:5,ME399205,52,5
TG(52:6),TG 52:6,ME399206,52,6
TG(53:2),TG 53:2,ME399207,53,2
TG(53:3),TG 53:3,ME399208,53,3
TG(53:4),TG 53:4,ME399209,53,4
TG(53:5),TG 53:5,ME399210,53,5
TG(54:1),TG 54:1,ME399211,54,1
TG(54:2),TG 54:2,ME399212,54,2
TG(54:3),TG 54:3,ME399213,54,3
TG(54:4),TG 54:4,ME399214,54,4
TG(54:5),TG 54:5,ME399215,54,5
TG(54:6),TG 54:6,ME399216,54,6
TG(54:7),TG 54:7,ME399217,54,7
TG(55:5),TG 55:5,ME399218,55,5
TG(56:2),TG 56:2,ME399219,56,2
TG(56:3),TG 56:3,ME399220,56,3
TG(56:4),TG 56:4,ME399221,56,4
TG(56:4).1,TG 56:4,ME399222,56,4
TG(56:6),TG 56:6,ME399223,56,6
TG(56:9),TG 56:9,ME399224,56,9
TG(58:6),TG 58:6,ME399225,58,6
TG(58:9),TG 58:9,ME399226,58,9
